Lot Area,Garage Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
31770,528.0,215000,1,0,0,0,0
11622,730.0,105000,1,0,0,0,0
14267,312.0,172000,1,0,0,0,0
11160,522.0,244000,1,0,0,0,0
13830,482.0,189900,1,0,0,0,0
9978,470.0,195500,1,0,0,0,0
4920,582.0,213500,0,0,0,0,1
5005,506.0,191500,0,0,0,0,1
5389,608.0,236500,0,0,0,0,1
7500,442.0,189000,1,0,0,0,0
10000,440.0,175900,1,0,0,0,0
7980,420.0,185000,1,0,0,0,0
8402,393.0,180400,1,0,0,0,0
10176,506.0,171500,1,0,0,0,0
6820,528.0,212000,0,0,0,0,1
53504,841.0,538000,1,0,0,0,0
12134,492.0,164000,1,0,0,0,0
11394,834.0,394432,1,0,0,0,0
19138,400.0,141000,1,0,0,0,0
13175,500.0,210000,1,0,0,0,0
11751,546.0,190000,1,0,0,0,0
10625,528.0,170000,1,0,0,0,0
7500,663.0,216000,1,0,0,0,0
11241,480.0,149000,1,0,0,0,0
12537,500.0,149900,1,0,0,0,0
8450,304.0,142000,1,0,0,0,0
8400,525.0,126000,1,0,0,0,0
10500,0.0,115000,1,0,0,0,0
5858,511.0,184000,0,0,0,0,1
1680,264.0,96000,0,0,0,1,0
1680,320.0,105500,0,0,0,1,0
1680,264.0,88000,0,0,0,1,0
4043,440.0,127500,0,0,0,0,1
2280,440.0,149900,0,0,0,1,0
2280,308.0,120000,0,0,0,1,0
2280,440.0,146000,0,0,0,1,0
12858,751.0,376162,1,0,0,0,0
11478,772.0,306000,1,0,0,0,0
10159,606.0,395192,1,0,0,0,0
12883,868.0,290941,1,0,0,0,0
12182,532.0,220000,1,0,0,0,0
11520,730.0,275000,1,0,0,0,0
14122,678.0,259000,1,0,0,0,0
10171,532.0,214000,1,0,0,0,0
12919,820.0,611657,1,0,0,0,0
6371,484.0,224000,0,0,0,0,1
14300,958.0,500000,1,0,0,0,0
13650,756.0,320000,1,0,0,0,0
7658,576.0,319900,0,0,0,0,1
7132,484.0,205000,0,0,0,0,1
2628,474.0,175500,0,0,0,1,0
18494,430.0,199500,1,0,0,0,0
3203,437.0,160000,0,0,0,0,1
3182,430.0,192000,0,0,0,0,1
13300,400.0,184500,1,0,0,0,0
7851,440.0,216500,1,0,0,0,0
8577,433.0,185088,1,0,0,0,0
7750,400.0,180000,1,0,0,0,0
9505,434.0,222500,1,0,0,0,0
14774,779.0,333168,1,0,0,0,0
17433,962.0,355000,1,0,0,0,0
10593,527.0,260400,1,0,0,0,0
12256,712.0,325000,1,0,0,0,0
11764,671.0,290000,1,0,0,0,0
16770,486.0,221000,1,0,0,0,0
14720,666.0,410000,1,0,0,0,0
8987,880.0,221500,1,0,0,0,0
9215,676.0,204500,1,0,0,0,0
8640,614.0,215200,1,0,0,0,0
9000,750.0,262500,1,0,0,0,0
12552,678.0,254900,1,0,0,0,0
10440,528.0,271500,1,0,0,0,0
10142,618.0,233000,1,0,0,0,0
11920,484.0,181000,1,0,0,0,0
8880,463.0,205000,1,0,0,0,0
8012,264.0,143000,0,0,0,0,1
11218,462.0,189000,1,0,0,0,0
7892,264.0,99500,0,0,0,0,1
7175,264.0,125000,0,0,0,0,1
9453,457.0,194500,1,0,0,0,0
9672,480.0,152000,1,0,0,0,0
8400,476.0,171000,1,0,0,0,0
9800,429.0,67500,1,0,0,0,0
8930,539.0,112000,0,0,1,0,0
11782,576.0,148000,1,0,0,0,0
8450,336.0,138500,1,0,0,0,0
9819,280.0,122000,1,0,0,0,0
7500,308.0,133000,1,0,0,0,0
6897,260.0,127000,1,0,0,0,0
15410,461.0,169000,1,0,0,0,0
10186,564.0,190000,1,0,0,0,0
13143,762.0,362500,1,0,0,0,0
11134,713.0,285000,1,0,0,0,0
4835,506.0,260000,0,0,0,0,1
3515,588.0,190000,0,0,0,0,1
3215,480.0,155000,0,0,0,0,1
3182,480.0,151000,0,0,0,0,1
2544,480.0,149500,0,0,0,1,0
2544,480.0,152000,0,0,0,1,0
4403,484.0,222000,1,0,0,0,0
2117,440.0,177500,0,0,0,1,0
2980,440.0,177000,0,0,0,0,1
2572,484.0,155000,0,0,0,1,0
2403,496.0,147110,0,0,0,0,1
12853,852.0,267916,1,0,0,0,0
7379,592.0,254000,1,0,0,0,0
4420,484.0,155000,0,0,0,0,1
3880,484.0,206000,0,0,0,1,0
13517,475.0,130500,1,0,0,0,0
8000,596.0,230000,1,0,0,0,0
10456,535.0,218500,1,0,0,0,0
10791,660.0,243500,1,0,0,0,0
10603,480.0,205000,1,0,0,0,0
18837,678.0,212500,1,0,0,0,0
10421,496.0,196500,1,0,0,0,0
9360,676.0,197500,1,0,0,0,0
9600,441.0,171000,1,0,0,0,0
9600,490.0,142250,1,0,0,0,0
9790,528.0,143000,1,0,0,0,0
9320,0.0,128950,1,0,0,0,0
9900,504.0,159000,1,0,0,0,0
9680,517.0,178900,1,0,0,0,0
10600,480.0,136300,1,0,0,0,0
14112,484.0,180500,1,0,0,0,0
8800,480.0,137500,1,0,0,0,0
13260,0.0,84900,0,0,1,0,0
9717,240.0,142125,1,0,0,0,0
9724,400.0,197600,1,0,0,0,0
17360,470.0,172500,1,0,0,0,0
7207,0.0,116500,1,0,0,0,0
5350,0.0,76500,1,0,0,0,0
9920,280.0,128000,1,0,0,0,0
9600,364.0,153000,1,0,0,0,0
7800,244.0,132000,1,0,0,0,0
11380,315.0,178000,1,0,0,0,0
11600,480.0,154300,0,0,1,0,0
19900,576.0,180000,1,0,0,0,0
16492,578.0,190000,1,0,0,0,0
8267,576.0,135000,0,0,1,0,0
8197,620.0,214000,1,0,0,0,0
8050,308.0,136000,1,0,0,0,0
10552,447.0,165500,1,0,0,0,0
8400,294.0,145000,1,0,0,0,0
8760,312.0,148000,1,0,0,0,0
12160,531.0,142000,1,0,0,0,0
9300,461.0,167500,1,0,0,0,0
10725,312.0,108538,1,0,0,0,0
10032,440.0,159500,1,0,0,0,0
8382,263.0,108000,1,0,0,0,0
10950,318.0,135000,1,0,0,0,0
10895,305.0,122500,1,0,0,0,0
13587,264.0,119000,0,1,0,0,0
7922,246.0,109000,1,0,0,0,0
7898,676.0,105000,1,0,0,0,0
7200,392.0,107500,1,0,0,0,0
10200,490.0,144900,1,0,0,0,0
5868,308.0,129000,1,0,0,0,0
17503,330.0,97500,1,0,0,0,0
6979,576.0,144000,0,0,1,0,0
9830,576.0,162000,1,0,0,0,0
11275,564.0,242000,1,0,0,0,0
8064,280.0,132000,1,0,0,0,0
7500,305.0,154000,1,0,0,0,0
8520,720.0,166000,1,0,0,0,0
7200,576.0,134800,1,0,0,0,0
10000,440.0,160000,1,0,0,0,0
7635,484.0,148000,1,0,0,0,0
9760,440.0,192000,1,0,0,0,0
7700,442.0,155000,1,0,0,0,0
4800,240.0,80400,1,0,0,0,0
8800,0.0,96500,1,0,0,0,0
4485,0.0,109500,1,0,0,0,0
8960,360.0,115000,1,0,0,0,0
5805,551.0,143000,1,0,0,0,0
5790,379.0,107400,1,0,0,0,0
4608,220.0,80000,1,0,0,0,0
7200,240.0,119000,1,0,0,0,0
5500,484.0,130000,1,0,0,0,0
6900,240.0,119000,1,0,0,0,0
11851,240.0,129000,1,0,0,0,0
8239,315.0,100000,1,0,0,0,0
9656,780.0,12789,1,0,0,0,0
8520,484.0,105900,1,0,0,0,0
9600,288.0,150000,1,0,0,0,0
10800,416.0,139000,1,0,0,0,0
9000,624.0,240000,1,0,0,0,0
9045,0.0,76500,0,1,0,0,0
7407,923.0,149700,1,0,0,0,0
7740,528.0,125500,1,0,0,0,0
11340,560.0,122500,0,1,0,0,0
10560,624.0,140750,1,0,0,0,0
5830,363.0,128500,1,0,0,0,0
7793,315.0,209500,1,0,0,0,0
5000,200.0,87000,1,0,0,0,0
6000,240.0,134000,1,0,0,0,0
6000,576.0,128000,1,0,0,0,0
6360,240.0,132000,1,0,0,0,0
6000,312.0,139900,1,0,0,0,0
6240,624.0,123900,1,0,0,0,0
6240,480.0,138400,1,0,0,0,0
6120,288.0,109500,1,0,0,0,0
10300,480.0,140000,1,0,0,0,0
8094,572.0,149500,1,0,0,0,0
12900,0.0,159900,1,0,0,0,0
3068,180.0,122000,1,0,0,0,0
8472,516.0,110000,0,0,1,0,0
5600,0.0,55000,0,1,0,0,0
7630,672.0,140000,0,1,0,0,0
24090,349.0,244400,1,0,0,0,0
15263,365.0,173000,1,0,0,0,0
10632,180.0,107500,1,0,0,0,0
9900,0.0,100000,0,1,0,0,0
6001,231.0,95000,1,0,0,0,0
6449,0.0,93369,1,0,0,0,0
6048,450.0,114900,0,1,0,0,0
6342,0.0,94000,1,0,0,0,0
10773,0.0,136000,0,0,1,0,0
10778,0.0,136500,0,0,1,0,0
11625,504.0,131500,0,1,0,0,0
11341,528.0,121500,1,0,0,0,0
8521,336.0,125000,1,0,0,0,0
8246,270.0,154000,1,0,0,0,0
7800,416.0,137900,1,0,0,0,0
9364,299.0,158000,1,0,0,0,0
7832,280.0,137250,1,0,0,0,0
7424,591.0,160250,0,0,1,0,0
11227,480.0,163000,1,0,0,0,0
11616,440.0,158900,1,0,0,0,0
14000,533.0,328000,1,0,0,0,0
20062,690.0,270000,1,0,0,0,0
9259,440.0,85000,1,0,0,0,0
9600,436.0,128000,1,0,0,0,0
23595,586.0,260000,1,0,0,0,0
17082,522.0,230000,1,0,0,0,0
18600,480.0,124000,1,0,0,0,0
10625,366.0,83000,1,0,0,0,0
11479,467.0,144500,1,0,0,0,0
9571,596.0,129000,1,0,0,0,0
9350,209.0,127000,1,0,0,0,0
9525,366.0,128000,1,0,0,0,0
10420,460.0,186000,1,0,0,0,0
17485,572.0,308030,1,0,0,0,0
11200,504.0,114000,1,0,0,0,0
11100,308.0,84900,1,0,0,0,0
9206,476.0,178000,1,0,0,0,0
11980,528.0,270000,1,0,0,0,0
12361,1017.0,218000,1,0,0,0,0
9938,574.0,236000,1,0,0,0,0
9069,564.0,147000,1,0,0,0,0
10475,776.0,245350,1,0,0,0,0
6762,632.0,206000,1,0,0,0,0
10402,740.0,198900,1,0,0,0,0
7360,615.0,187000,1,0,0,0,0
12376,594.0,320000,1,0,0,0,0
14235,484.0,138500,1,0,0,0,0
8816,440.0,155000,1,0,0,0,0
11105,580.0,159000,1,0,0,0,0
9337,513.0,191000,1,0,0,0,0
8750,523.0,200500,1,0,0,0,0
15240,308.0,150000,1,0,0,0,0
10900,299.0,161750,1,0,0,0,0
10650,308.0,128200,1,0,0,0,0
7480,484.0,127000,1,0,0,0,0
10389,850.0,318000,1,0,0,0,0
11423,670.0,272000,1,0,0,0,0
9548,613.0,237000,1,0,0,0,0
9375,621.0,240000,1,0,0,0,0
12137,598.0,224900,1,0,0,0,0
4435,420.0,143750,0,0,0,0,1
4426,420.0,143000,0,0,0,0,1
10635,502.0,232000,1,0,0,0,0
8400,606.0,213000,1,0,0,0,0
8773,494.0,185500,1,0,0,0,0
8777,240.0,84900,1,0,0,0,0
8842,319.0,155891,1,0,0,0,0
9825,0.0,100000,0,0,1,0,0
10044,336.0,144000,1,0,0,0,0
11792,480.0,64000,1,0,0,0,0
6305,352.0,125200,1,0,0,0,0
7819,672.0,107000,1,0,0,0,0
6410,0.0,90000,1,0,0,0,0
8546,440.0,140000,1,0,0,0,0
8741,220.0,113000,1,0,0,0,0
12180,280.0,80000,0,1,0,0,0
8562,364.0,144500,1,0,0,0,0
4853,260.0,104000,1,0,0,0,0
6858,216.0,128000,1,0,0,0,0
8212,200.0,58500,1,0,0,0,0
5000,308.0,127000,1,0,0,0,0
