Lot Area,Gr Liv Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
31770,1656,215000,1,0,0,0,0
11622,896,105000,1,0,0,0,0
14267,1329,172000,1,0,0,0,0
11160,2110,244000,1,0,0,0,0
13830,1629,189900,1,0,0,0,0
9978,1604,195500,1,0,0,0,0
4920,1338,213500,0,0,0,0,1
5005,1280,191500,0,0,0,0,1
5389,1616,236500,0,0,0,0,1
7500,1804,189000,1,0,0,0,0
10000,1655,175900,1,0,0,0,0
7980,1187,185000,1,0,0,0,0
8402,1465,180400,1,0,0,0,0
10176,1341,171500,1,0,0,0,0
6820,1502,212000,0,0,0,0,1
53504,3279,538000,1,0,0,0,0
12134,1752,164000,1,0,0,0,0
11394,1856,394432,1,0,0,0,0
19138,864,141000,1,0,0,0,0
13175,2073,210000,1,0,0,0,0
11751,1844,190000,1,0,0,0,0
10625,1173,170000,1,0,0,0,0
7500,1674,216000,1,0,0,0,0
11241,1004,149000,1,0,0,0,0
12537,1078,149900,1,0,0,0,0
8450,1056,142000,1,0,0,0,0
8400,882,126000,1,0,0,0,0
10500,864,115000,1,0,0,0,0
5858,1337,184000,0,0,0,0,1
1680,987,96000,0,0,0,1,0
1680,1092,105500,0,0,0,1,0
1680,1092,88000,0,0,0,1,0
4043,1069,127500,0,0,0,0,1
2280,1456,149900,0,0,0,1,0
2280,836,120000,0,0,0,1,0
2280,1456,146000,0,0,0,1,0
12858,2334,376162,1,0,0,0,0
11478,1704,306000,1,0,0,0,0
10159,1940,395192,1,0,0,0,0
12883,1544,290941,1,0,0,0,0
12182,1541,220000,1,0,0,0,0
11520,1698,275000,1,0,0,0,0
14122,1822,259000,1,0,0,0,0
10171,1535,214000,1,0,0,0,0
12919,2364,611657,1,0,0,0,0
6371,1358,224000,0,0,0,0,1
14300,2696,500000,1,0,0,0,0
13650,2250,320000,1,0,0,0,0
7658,1752,319900,0,0,0,0,1
7132,1370,205000,0,0,0,0,1
2628,1626,175500,0,0,0,1,0
18494,1324,199500,1,0,0,0,0
3203,1145,160000,0,0,0,0,1
3182,1269,192000,0,0,0,0,1
13300,1374,184500,1,0,0,0,0
7851,1960,216500,1,0,0,0,0
8577,1733,185088,1,0,0,0,0
7750,1430,180000,1,0,0,0,0
9505,2035,222500,1,0,0,0,0
14774,2599,333168,1,0,0,0,0
17433,2475,355000,1,0,0,0,0
10593,1720,260400,1,0,0,0,0
12256,2622,325000,1,0,0,0,0
11764,2270,290000,1,0,0,0,0
16770,1839,221000,1,0,0,0,0
14720,3238,410000,1,0,0,0,0
8987,1595,221500,1,0,0,0,0
9215,1218,204500,1,0,0,0,0
8640,1547,215200,1,0,0,0,0
9000,1566,262500,1,0,0,0,0
12552,1947,254900,1,0,0,0,0
10440,1468,271500,1,0,0,0,0
10142,2084,233000,1,0,0,0,0
11920,1659,181000,1,0,0,0,0
8880,2110,205000,1,0,0,0,0
