Gr Liv Area,Garage Area,SalePrice,1Fam,2fmCon,Duplex,Twnhs,TwnhsE
1656,528.0,215000,1,0,0,0,0
896,730.0,105000,1,0,0,0,0
1329,312.0,172000,1,0,0,0,0
2110,522.0,244000,1,0,0,0,0
1629,482.0,189900,1,0,0,0,0
1604,470.0,195500,1,0,0,0,0
1338,582.0,213500,0,0,0,0,1
1280,506.0,191500,0,0,0,0,1
1616,608.0,236500,0,0,0,0,1
1804,442.0,189000,1,0,0,0,0
1655,440.0,175900,1,0,0,0,0
1187,420.0,185000,1,0,0,0,0
1465,393.0,180400,1,0,0,0,0
1341,506.0,171500,1,0,0,0,0
1502,528.0,212000,0,0,0,0,1
3279,841.0,538000,1,0,0,0,0
1752,492.0,164000,1,0,0,0,0
1856,834.0,394432,1,0,0,0,0
864,400.0,141000,1,0,0,0,0
2073,500.0,210000,1,0,0,0,0
1844,546.0,190000,1,0,0,0,0
1173,528.0,170000,1,0,0,0,0
1674,663.0,216000,1,0,0,0,0
1004,480.0,149000,1,0,0,0,0
1078,500.0,149900,1,0,0,0,0
1056,304.0,142000,1,0,0,0,0
882,525.0,126000,1,0,0,0,0
864,0.0,115000,1,0,0,0,0
1337,511.0,184000,0,0,0,0,1
987,264.0,96000,0,0,0,1,0
1092,320.0,105500,0,0,0,1,0
1092,264.0,88000,0,0,0,1,0
1069,440.0,127500,0,0,0,0,1
1456,440.0,149900,0,0,0,1,0
836,308.0,120000,0,0,0,1,0
1456,440.0,146000,0,0,0,1,0
2334,751.0,376162,1,0,0,0,0
1704,772.0,306000,1,0,0,0,0
1940,606.0,395192,1,0,0,0,0
1544,868.0,290941,1,0,0,0,0
1541,532.0,220000,1,0,0,0,0
1698,730.0,275000,1,0,0,0,0
1822,678.0,259000,1,0,0,0,0
1535,532.0,214000,1,0,0,0,0
2364,820.0,611657,1,0,0,0,0
1358,484.0,224000,0,0,0,0,1
2696,958.0,500000,1,0,0,0,0
2250,756.0,320000,1,0,0,0,0
1752,576.0,319900,0,0,0,0,1
1370,484.0,205000,0,0,0,0,1
1626,474.0,175500,0,0,0,1,0
1324,430.0,199500,1,0,0,0,0
1145,437.0,160000,0,0,0,0,1
1269,430.0,192000,0,0,0,0,1
1374,400.0,184500,1,0,0,0,0
1960,440.0,216500,1,0,0,0,0
1733,433.0,185088,1,0,0,0,0
1430,400.0,180000,1,0,0,0,0
2035,434.0,222500,1,0,0,0,0
2599,779.0,333168,1,0,0,0,0
2475,962.0,355000,1,0,0,0,0
1720,527.0,260400,1,0,0,0,0
2622,712.0,325000,1,0,0,0,0
2270,671.0,290000,1,0,0,0,0
1839,486.0,221000,1,0,0,0,0
3238,666.0,410000,1,0,0,0,0
1595,880.0,221500,1,0,0,0,0
1218,676.0,204500,1,0,0,0,0
1547,614.0,215200,1,0,0,0,0
1566,750.0,262500,1,0,0,0,0
1947,678.0,254900,1,0,0,0,0
1468,528.0,271500,1,0,0,0,0
2084,618.0,233000,1,0,0,0,0
1659,484.0,181000,1,0,0,0,0
2110,463.0,205000,1,0,0,0,0
923,264.0,143000,0,0,0,0,1
1845,462.0,189000,1,0,0,0,0
918,264.0,99500,0,0,0,0,1
752,264.0,125000,0,0,0,0,1
1744,457.0,194500,1,0,0,0,0
1097,480.0,152000,1,0,0,0,0
1564,476.0,171000,1,0,0,0,0
1012,429.0,67500,1,0,0,0,0
1902,539.0,112000,0,0,1,0,0
1155,576.0,148000,1,0,0,0,0
894,336.0,138500,1,0,0,0,0
900,280.0,122000,1,0,0,0,0
1040,308.0,133000,1,0,0,0,0
1040,260.0,127000,1,0,0,0,0
1494,461.0,169000,1,0,0,0,0
1923,564.0,190000,1,0,0,0,0
2349,762.0,362500,1,0,0,0,0
2225,713.0,285000,1,0,0,0,0
1488,506.0,260000,0,0,0,0,1
1680,588.0,190000,0,0,0,0,1
1200,480.0,155000,0,0,0,0,1
1200,480.0,151000,0,0,0,0,1
1200,480.0,149500,0,0,0,1,0
1236,480.0,152000,0,0,0,1,0
1478,484.0,222000,1,0,0,0,0
1573,440.0,177500,0,0,0,1,0
1512,440.0,177000,0,0,0,0,1
1416,484.0,155000,0,0,0,1,0
1080,496.0,147110,0,0,0,0,1
1418,852.0,267916,1,0,0,0,0
1848,592.0,254000,1,0,0,0,0
788,484.0,155000,0,0,0,0,1
1226,484.0,206000,0,0,0,1,0
1479,475.0,130500,1,0,0,0,0
1492,596.0,230000,1,0,0,0,0
1829,535.0,218500,1,0,0,0,0
2495,660.0,243500,1,0,0,0,0
1610,480.0,205000,1,0,0,0,0
1891,678.0,212500,1,0,0,0,0
1714,496.0,196500,1,0,0,0,0
1381,676.0,197500,1,0,0,0,0
1645,441.0,171000,1,0,0,0,0
1232,490.0,142250,1,0,0,0,0
1328,528.0,143000,1,0,0,0,0
1225,0.0,128950,1,0,0,0,0
1209,504.0,159000,1,0,0,0,0
1510,517.0,178900,1,0,0,0,0
1775,480.0,136300,1,0,0,0,0
1152,484.0,180500,1,0,0,0,0
1054,480.0,137500,1,0,0,0,0
1728,0.0,84900,0,0,1,0,0
1078,240.0,142125,1,0,0,0,0
2461,400.0,197600,1,0,0,0,0
1556,470.0,172500,1,0,0,0,0
858,0.0,116500,1,0,0,0,0
1306,0.0,76500,1,0,0,0,0
1063,280.0,128000,1,0,0,0,0
1520,364.0,153000,1,0,0,0,0
1268,244.0,132000,1,0,0,0,0
1128,315.0,178000,1,0,0,0,0
2274,480.0,154300,0,0,1,0,0
2207,576.0,180000,1,0,0,0,0
1888,578.0,190000,1,0,0,0,0
1604,576.0,135000,0,0,1,0,0
1480,620.0,214000,1,0,0,0,0
1143,308.0,136000,1,0,0,0,0
1700,447.0,165500,1,0,0,0,0
1314,294.0,145000,1,0,0,0,0
1194,312.0,148000,1,0,0,0,0
1188,531.0,142000,1,0,0,0,0
1264,461.0,167500,1,0,0,0,0
1206,312.0,108538,1,0,0,0,0
1580,440.0,159500,1,0,0,0,0
1337,263.0,108000,1,0,0,0,0
1064,318.0,135000,1,0,0,0,0
972,305.0,122500,1,0,0,0,0
988,264.0,119000,0,1,0,0,0
1057,246.0,109000,1,0,0,0,0
985,676.0,105000,1,0,0,0,0
827,392.0,107500,1,0,0,0,0
1086,490.0,144900,1,0,0,0,0
936,308.0,129000,1,0,0,0,0
1458,330.0,97500,1,0,0,0,0
1056,576.0,144000,0,0,1,0,0
1287,576.0,162000,1,0,0,0,0
2978,564.0,242000,1,0,0,0,0
1224,280.0,132000,1,0,0,0,0
1246,305.0,154000,1,0,0,0,0
1385,720.0,166000,1,0,0,0,0
900,576.0,134800,1,0,0,0,0
1116,440.0,160000,1,0,0,0,0
1175,484.0,148000,1,0,0,0,0
